"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"도척윗로 356-1",1,경기도 광주시 도척면 도척윗로 356-1,경기도 광주시 도척면 도웅리 74-4,37.32727391,127.3097125,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길33",1,경기도 광주시 곤지암읍 경충대로59번길 33,경기도 광주시 곤지암읍 신촌리 101,37.32703417,127.3962392,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 19번길 24-2",1,경기도 광주시 도척면 얼음골길19번길 24-2,경기도 광주시 도척면 도웅리 48-3,37.32735267,127.3062251,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"다람로 36번길 181",1,경기도 광주시 도척면 다람로36번길 181,경기도 광주시 도척면 도웅리 77-7,37.32737492,127.3131419,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"다람로36번길 181",1,경기도 광주시 도척면 다람로36번길 181,경기도 광주시 도척면 도웅리 77-7,37.32737492,127.3131419,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로330번길 54",1,경기도 광주시 도척면 도척로330번길 54,경기도 광주시 도척면 진우리 113,37.32753708,127.3352682,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 112-23",1,경기도 광주시 도척면 옛진말길 112-23,경기도 광주시 도척면 진우리 274-5,37.32756197,127.3253155,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로285-1",1,경기도 광주시 도척면 도척로 285-1,경기도 광주시 도척면 진우리 산8-1,37.32708337,127.3379239,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로65-10",1,경기도 광주시 곤지암읍 경충대로 65-10,경기도 광주시 곤지암읍 신촌리 182-1,37.32723251,127.3927283,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로101번길22",1,경기도 광주시 곤지암읍 경충대로101번길 22,경기도 광주시 곤지암읍 신촌리 230-2,37.32733818,127.3869953,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 112-17",1,경기도 광주시 도척면 옛진말길 112-17,경기도 광주시 도척면 진우리 276,37.32742965,127.3242335,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 19번길 15-2",1,경기도 광주시 도척면 얼음골길19번길 15-2,경기도 광주시 도척면 도웅리 49-1,37.32760946,127.3069901,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 19번길 15-2",1,경기도 광주시 도척면 얼음골길19번길 15-2,경기도 광주시 도척면 도웅리 49-1,37.32760946,127.3069901,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로101번길14",1,경기도 광주시 곤지암읍 경충대로101번길 14,경기도 광주시 곤지암읍 신촌리 230-1,37.32733267,127.3876723,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로101번길14",1,경기도 광주시 곤지암읍 경충대로101번길 14,경기도 광주시 곤지암읍 신촌리 230-1,37.32733267,127.3876723,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로101번길14",1,경기도 광주시 곤지암읍 경충대로101번길 14,경기도 광주시 곤지암읍 신촌리 230-1,37.32733267,127.3876723,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로330번길 49",1,경기도 광주시 도척면 도척로330번길 49,경기도 광주시 도척면 진우리 111-5 KGB village,37.32751697,127.334896,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로330번길 47-10",1,경기도 광주시 도척면 도척로330번길 47-10,경기도 광주시 도척면 진우리 111-7,37.32751577,127.3346816,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길80",1,경기도 광주시 곤지암읍 구수동길 80,경기도 광주시 곤지암읍 수양리 344-19,37.32741774,127.3763313,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 38",1,경기도 광주시 도척면 옛진말길 38,경기도 광주시 도척면 진우리 104-4,37.32756362,127.331973,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길19번길 10-10",1,경기도 광주시 도척면 얼음골길19번길 10-10,경기도 광주시 도척면 도웅리 47-4,37.3278904,127.3057237,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길19번길 10-10",1,경기도 광주시 도척면 얼음골길19번길 10-10,경기도 광주시 도척면 도웅리 47-4,37.3278904,127.3057237,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길14-1",1,경기도 광주시 곤지암읍 경충대로59번길 14-1,경기도 광주시 곤지암읍 신촌리 138-2,37.3277185,127.3943719,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길14-1",1,경기도 광주시 곤지암읍 경충대로59번길 14-1,경기도 광주시 곤지암읍 신촌리 138-2,37.3277185,127.3943719,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
