공연장명,객석,객석면적,무대면적,소재지,전화번호,관리자
市문화예술회관대극장,1732,3240,1848,광주광역시 북구 운암동 328-16,062-510-9333,문화예술회관
아시아문화전당(극장1),1056,6743,1904,광주광역시 동구 문화전당로38(광산동),1899-5566,아시아문화전당
아시아문화전당(극장2),512,3170,362,광주광역시 동구 문화전당로38(광산동),1899-5566,아시아문화전당
5.18기념문화관 민주홀,802,1605,422,광주광역시 서구 내방로 152,062-613-7930,5.18기념 문화센터소장
市 청소년수련원,466,378,277,광주광역시 서구 학생독립로 37,062-373-0943,청소년 수련원장
서구문화센터,326,394,93,광주광역시 서구 마재로 3,062-654-4300,서구문화 센터관장
광주학생교육문화회관,507,488,382,광주광역시 서구 상무민주로 61,062-380-8901,교육문화회관장
금호아트홀,316,340,70,광주광역시 서구 무진대로 904,062-361-8431,금호고속(주)
빛고을시민문화관,715,858,614,광주광역시 남구 천변좌로 338번길 7,062-670-7924,광주문화재단
남구 종합문화예술회관,402,374,159,광주광역시 남구 봉선로 208,062-670-5060,정제열
市문화예술회관소극장,509,758,448,광주광역시 북구 운암동 328-16,062-510-9252,문화예술회관장
광산구문화예술회관,548,625,240,광주광역시 광산구 송정동 582-1,062-960-8860,광산구문화예술회관장
레미어린이극장,304,279,187,광주광역시 광산구 장덕동 1678,062-975-2864,홍미경
광주아트홀,125,218,50,광주광역시 동구 황금동 100,062-227-7440,최덕식
공연일번지,70,183,33,광주광역시 동구 금남로 218-9,062-222-7008,임홍석
문예정터 소극장,100,103,66,광주광역시 동구 중흥로209번길 8,070-7766-1540,최현진
동구문화센터,120,226,40,광주광역시 동구 소태동 524-5,062-225-8700,동구청장
궁동예술극장,75,205,60,광주광역시 동구 궁동 51-25,062-222-7716,동구청장
씨어터 연바람,120,165,102,광주광역시 동구 제봉로110번길 17,062-226-2446,오성완
보헤미안,90,227,126,광주광역시 동구 문화전당로 43,062-416-1006,김남국
예술극장 통,99,250,64,광주광역시 동구 중앙로 149-2(호남동),062-430-5257,오설균
극단예린 소극장,36,15,55,광주광역시 동구 예술길23-1,062-223-2690,윤여송
민들레 소극장,100,171,54,광주광역시 동구 동계천로 111(동명동),062-222-6280,박정운
아시아문화전당(어린이극장),130,471,90,광주광역시 동구 문화전당로 38(광산동),1899-5566,아시아문화전당
"아시아문화전당(극장3, 소극장)",248,1123,111,광주광역시 동구 문화전당로 38(광산동),1899-5566,아시아문화전당
광주디엠홀,90,92,12,광주광역시 동구중앙로148번길11-27(호남동),062-227-7439,박미애
5.18기념문화관(대동홀),285,315,72,광주광역시 서구 내방로 152,062-613-7930,5.18기념문화센터소장
빛고을국악전수관,137,149,57,광주광역시 서구 풍금로 182,062-360-7462,서구청장
어린이공연장,200,463,89,광주광역시 서구 금화로 240,062-653-5961,홍미경
동산아트홀,243,345,122,광주광역시 서구 무진대로 904,062-360-8432,금호고속(주)
광주공연마루,172,159,86,광주광역시 서구 상무시민로 3,062-372-0550,광주정보 문화산업진흥원
기분좋은극장,220,131,68,"광주광역시 서구 상무중앙로 90, 7층",062-374-3304,이효은
광주음악산업진흥센터,172,80,123,광주광역시 남구 사직길 17 ,062-654-3625,광주정보 문화산업진흥원
빛고을아트스페이스,100,152,51,광주광역시 남구 천변좌로 338번길 7,062-670-7924,광주문화재단
홀로그램극장,80,88,85,광주광역시 남구 천변좌로 338번길 7,062-670-7924,광주문화재단
핑크노이즈,40,60,26,광주광역시 남구 대남대로 185,-,이진숙
북구평생학습문화센터,104,66,23,광주광역시 북구 중흥동 361-10,062-410-8395,광주 북구(인권교육과)
북구청소년수련관,262,267,105,광주광역시 북구 문흥동 1009-1,062-268-2321,북구청소년수련관장
광산구청소년수련관,250,267,40,광주광역시 광산구 쌍암동 653-1,062-971-5533,광산구청소년수련관장
금남로공원 야외무대,200,250,45,광주광역시 동구 금남로3가 20-2,062-608-2962,동구청장
시청 야외음악당,2000,6600,258,광주광역시 서구 내방로 111,062-613-3183,광주광역시장
풍암호수 야외무대,280,1215,100,광주광역시 서구 풍암동 432번지 ,062-360-7058,서구청장
풍암생활체육공원 무대,200,630,65,광주광역시 서구 풍암동 20번지 ,062-360-7058,서구청장
운천호수 야외무대,-,600,95,광주광역시 서구 쌍촌동 869-9번지,062-360-7058,서구청장
문화공원 야외공연장,168,80,94,광주광역시 북구 문흥동 1009-1,062-410-8418,북구청장
중외공원 야외공연장,2500,2721,279,광주광역시 북구 하서로 52,062-613-7115,시립미술관장
수완호수공원 야외무대,423,700,330,광주광역시 광산구 장신로82번길 57,062-960-8702,광산구청장
쌍암공원 야외무대,-,2000,160,광주광역시 광산구 첨단중앙로182번길 39,062-960-8704,광산구청장
