"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"도산동 970-43",1,,광주광역시 광산구 도산동 970-43,35.133185,126.785613,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 976-17",1,광주광역시 광산구 평동로1100번길 43,광주광역시 광산구 도산동 976-17,35.133444,126.785412,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 980-10",1,광주광역시 광산구 평동로1100번길 42,광주광역시 광산구 도산동 980-10,35.133559,126.785235,,건축물,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 976-16",1,광주광역시 광산구 평동로1100번길 37,광주광역시 광산구 도산동 976-16,35.133777,126.785330,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 976-6",1,광주광역시 광산구 평동로1100번길 32,광주광역시 광산구 도산동 976-6,35.133949,126.785405,,건축물,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 970-4",1,광주광역시 광산구 평동로1106번길 46,광주광역시 광산구 도산동 970-4,35.133708,126.785682,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 970-31",1,광주광역시 광산구 평동로1100번길 27,광주광역시 광산구 도산동 970-31,35.134166,126.785522,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 976-7",1,광주광역시 광산구 평동로1100번길 36,광주광역시 광산구 도산동 976-7,35.133893,126.785219,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1229-1",1,,광주광역시 광산구 도산동 1229-1,35.128306,126.781824,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1227-1",1,,광주광역시 광산구 도산동 1227-1,35.129614,126.781914,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1227-1",1,,광주광역시 광산구 도산동 1227-1,35.129614,126.781914,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1227-1",1,,광주광역시 광산구 도산동 1227-1,35.129614,126.781914,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1227-1",1,,광주광역시 광산구 도산동 1227-1,35.129614,126.781914,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1277",1,,광주광역시 광산구 도산동 1277,35.132184,126.784674,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 737-6",1,,광주광역시 광산구 도산동 737-6,35.128412,126.794176,,전용주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1039-2",1,,광주광역시 광산구 도산동 1039-2,35.130019,126.790828,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 985-1",1,,광주광역시 광산구 도산동 985-1,35.131801,126.786018,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 985-2",1,,광주광역시 광산구 도산동 985-2,35.131620,126.785955,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 987",1,,광주광역시 광산구 도산동 987,35.131445,126.785584,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 989-15",1,광주광역시 광산구 평동로1120번길 100,광주광역시 광산구 도산동 989-15,35.130902,126.785395,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 999",1,,광주광역시 광산구 도산동 999,35.130353,126.784624,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 998",1,,광주광역시 광산구 도산동 998,35.130188,126.784363,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 998-13",1,,광주광역시 광산구 도산동 998-13,35.129850,126.783907,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1223-1",1,,광주광역시 광산구 도산동 1223-1,35.129610,126.783351,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1225-3",1,광주광역시 광산구 평동로1120번길 156,광주광역시 광산구 도산동 1225-3,,126.782694,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1225-5",1,광주광역시 광산구 평동로1120번길 168,광주광역시 광산구 도산동 1225-5,35.129096,126.782394,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1221",1,,광주광역시 광산구 도산동 1221,35.129132,126.784127,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
"도산동 1226",1,광주광역시 광산구 평동로1098번길 141,광주광역시 광산구 도산동 1226,35.129174,126.782118,,한전주,062-960-8582,광주광역시 광산구청,2019-01-01
