"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"사직동 1",1,,광주광역시 남구 사직동 사동 5-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 2",1,,광주광역시 남구 사직동 사동 8-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 3",1,,광주광역시 남구 사직동 사동 14,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 4",1,,광주광역시 남구 사직동 사동 31,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 5",1,,광주광역시 남구 사직동 사동 31,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 6",1,,광주광역시 남구 사직동 사동 49-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 7",1,,광주광역시 남구 사직동 사동 42-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 8",1,,광주광역시 남구 사직동 사동 39-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 9",1,,광주광역시 남구 사직동 사동 40,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 10",1,,광주광역시 남구 사직동 사동 49-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 11",1,,광주광역시 남구 사직동 사동 49-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 12",1,,광주광역시 남구 사직동 사동 49-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 13",1,,광주광역시 남구 사직동 사동 16-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 14",1,,광주광역시 남구 사직동 사동 63-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 15",1,,광주광역시 남구 사직동 사동 52-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 16",1,,광주광역시 남구 사직동 사동 57,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 17",1,,광주광역시 남구 사직동 사동 59,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 18",1,,광주광역시 남구 사직동 사동 57-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 19",1,,광주광역시 남구 사직동 사동 59-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 20",1,,광주광역시 남구 사직동 사동 58-10,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 21",1,,광주광역시 남구 사직동 사동 57-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 22",1,,광주광역시 남구 사직동 사동 50-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 23",1,,광주광역시 남구 사직동 사동 51-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 24",1,,광주광역시 남구 사직동 사동 93-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 25",1,,광주광역시 남구 사직동 사동 95-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 26",1,,광주광역시 남구 사직동 사동 96-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 27",1,,광주광역시 남구 사직동 사동 100,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 28",1,,광주광역시 남구 사직동 사동 88-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 29",1,,광주광역시 남구 사직동 사동 90-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 30",1,,광주광역시 남구 사직동 사동 86-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 31",1,,광주광역시 남구 사직동 사동 116,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 32",1,,광주광역시 남구 사직동 사동 116,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 33",1,,광주광역시 남구 사직동 사동 107-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 37",1,,광주광역시 남구 사직동 사동 109-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 38",1,,광주광역시 남구 사직동 사동 109-9,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 39",1,,광주광역시 남구 사직동 사동 121-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 40",1,,광주광역시 남구 사직동 사동 121-35,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 41",1,,광주광역시 남구 사직동 사동 124-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 42",1,,광주광역시 남구 사직동 사동 123-7,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 43",1,,광주광역시 남구 사직동 사동 123-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 44",1,,광주광역시 남구 사직동 사동 121-27,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 45",1,,광주광역시 남구 사직동 사동 125-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 46",1,,광주광역시 남구 사직동 사동 127-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 47",1,,광주광역시 남구 사직동 사동 127-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 48",1,,광주광역시 남구 사직동 사동 127-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 49",1,,광주광역시 남구 사직동 사동 127-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 50",1,,광주광역시 남구 사직동 사동 127-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 51",1,,광주광역시 남구 사직동 사동 131-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 52",1,,광주광역시 남구 사직동 사동 130-14,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 53",1,,광주광역시 남구 사직동 사동 130-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 54",1,,광주광역시 남구 사직동 사동 130-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 55",1,,광주광역시 남구 사직동 사동 134-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 56",1,,광주광역시 남구 사직동 사동 136-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 57",1,,광주광역시 남구 사직동 사동 167,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 58",1,,광주광역시 남구 사직동 사동 170-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 59",1,,광주광역시 남구 사직동 사동 171-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 60",1,,광주광역시 남구 사직동 사동 173,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 61",1,,광주광역시 남구 사직동 사동 176-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 62",1,,광주광역시 남구 사직동 사동 176-23,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 63",1,,광주광역시 남구 사직동 사동 176-24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 64",1,,광주광역시 남구 사직동 사동 176-18,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 65",1,,광주광역시 남구 사직동 사동 122-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 66",1,,광주광역시 남구 사직동 사동 177-29,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 67",1,,광주광역시 남구 사직동 사동 177-41,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 68",1,,광주광역시 남구 사직동 사동 163-18,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 69",1,,광주광역시 남구 사직동 사동 158-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 70",1,,광주광역시 남구 사직동 사동 153,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 71",1,,광주광역시 남구 사직동 사동 163,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 72",1,,광주광역시 남구 사직동 사동 142-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 73",1,,광주광역시 남구 사직동 사동 163-9,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 74",1,,광주광역시 남구 사직동 사동 163-13,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 75",1,,광주광역시 남구 사직동 사동 177-24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 76",1,,광주광역시 남구 사직동 사동 172-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 77",1,,광주광역시 남구 사직동 사동 172-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 78",1,,광주광역시 남구 사직동 사동 177-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 79",1,,광주광역시 남구 사직동 사동 177-13,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 80",1,,광주광역시 남구 사직동 서동 255,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 81",1,,광주광역시 남구 사직동 사동 162-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 82",1,,광주광역시 남구 사직동 사동 160-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 83",1,,광주광역시 남구 사직동 서동 254-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 84",1,,광주광역시 남구 사직동 서동 290-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 85",1,,광주광역시 남구 사직동 서동 261-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 86",1,,광주광역시 남구 사직동 서동 260-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 87",1,,광주광역시 남구 사직동 서동 260-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
