시설명,소재지,전화번호
광주시립미술관,광주 북구 하서로 52,062-613-7100
성수미술관 광주동명점,광주 동구 동계천로 151-17 A동 2층,0507-1496-1149
하정웅미술관,광주 서구 상무대로 1165,062-613-5390
한희원미술관,광주 남구 양촌길 27-6,062-653-5435
드영미술관,광주 동구 성촌길 6 드영미술관,062-223-6515
시화문화마을금봉미술관,광주 북구 각화대로 91,062-269-9883
무등현대미술관,광주 동구 증심사길 9 정송규미술관,0507-1353-6677
진한미술관,광주 동구 중앙로196번길 14,
양림미술관,광주 남구 제중로 70,
노의웅미술관,광주 남구 수춘안길 7 노의웅미술관,0507-1316-7202
이강하미술관,광주 남구 3·1만세운동길 6,0507-1322-8515
국윤미술관,광주 동구 의재로 82,062-232-7335
산수미술관,광주 동구 밤실로 64-1,062-234-9789
오월미술관,광주 동구 문화전당로 29-1 2층,0507-1353-0547
광주시립미술관(금남로분관),광주 동구 금남로 231 금남빌딩,062-222-8053
쌍암공원별밤미술관,광주 광산구 첨단중앙로182번길 39,
은암미술관,광주 동구 서석로85번길 8-12,062-226-6677
우청미술관,광주 동구 금남로 232-4,062-383-8408
소암미술관,광주 남구 중앙로 83-1,0507-1491-7712
틈새미술관,광주 남구 용대로74번길 27,062-675-4024
토우미술관,광주 남구 칠석길 1 고싸움테마파크 맞은편,010-6643-0092
광주계림미술관,광주 동구 경양로 273,
아시아예술창작스튜디오,광주 광산구 용진로 303,
