도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
에이스문고,광주광역시,북구,작은도서관,매주 일요일,11:00,18:00,11:00,14:00,00:00,00:00,20,1200,1,5,3,7,광주광역시 북구 설죽로389번길 71(삼각동),,062-575-7171,,39.6,,35.19601189,126.8987679,2020-07-03,3620000,광주광역시 북구
꿈나무 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,18,7654,2,0,5,15,광주광역시 북구 중문로 58 북구꿈나무복지센터,꿈나무사회복지관,062-410-8940,,103.7,,35.1778236,126.9181999,2020-07-03,3620000,광주광역시 북구
동림동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:13:00-17:00운영)",09:00,18:00,13:00,17:00,00:00,00:00,32,15387,2,0,5,15,광주광역시 북구 북문대로 236 동림동 주민센터 3층,광주광역시 북구 동림동주민센터,062-410-8560,,186.44,,35.1857201,126.85587779999999,2020-07-03,3620000,광주광역시 북구
두암1동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,20,2940,2,0,5,15,광주광역시 북구 동문대로110번길 77 두암1동 주민센터 2층,광주광역시 북구 두암1동주민센터,062-410-8764,,132.0,,35.1709414,126.9202412,2020-07-03,3620000,광주광역시 북구
새싹들의글방 두암2동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,13:00,00:00,00:00,15,5731,2,0,5,15,광주광역시 북구 면앙로192번길 15 두암2동 주민센터 3층,광주광역시 북구 두암2동주민센터,062-410-8779,,115.0,,35.1745684,126.92390420000001,2020-07-03,3620000,광주광역시 북구
고맙습니다. 두암3동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:10시-17시운영)",10:00,17:00,10:00,17:00,00:00,00:00,18,9534,2,0,5,15,광주광역시 북구 삼정로3번길 25 두암3동 주민센터 3층,광주광역시 북구 두암3동주민센터,062-510-1288,,165.0,,35.1630313,126.92602079999999,2020-07-03,3620000,광주광역시 북구
매곡동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:10시-12시운영)",09:00,18:00,10:00,12:00,00:00,00:00,10,3795,2,0,5,15,광주광역시 북구 매곡로69번길 25 매곡동 주민센센터 2층,광주광역시 북구 매곡동주민센터,062-410-8814,,71.0,,35.1896183,126.88339540000001,2020-07-03,3620000,광주광역시 북구
문흥2동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:9시-17시운영)",09:00,18:00,09:00,17:00,00:00,00:00,12,7596,2,0,5,15,광주광역시 북구 문산로 25 문흥2동 주민센터 1층,광주광역시 북구 문흥2동주민센터,062-410-8754,,124.0,,35.1843059,126.9131994,2020-07-03,3620000,광주광역시 북구
삼각동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,14,3008,2,0,5,15,광주광역시 북구 설죽로 447 삼각동 주민센터 내,광주광역시 북구 삼각동주민센터,062-410-8795,,33.0,,35.1992328,126.89074860000001,2020-07-03,3620000,광주광역시 북구
시화문화마을 작은도서관,광주광역시,북구,작은도서관,"매주 월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,60,3604,2,0,5,15,광주광역시 북구 각화대로 91 시화문화마을커뮤너티센터 1층,북구청 주민자치과,062-510-1443,,115.0,,35.1793139,126.9315634,2020-07-03,3620000,광주광역시 북구
신안동 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:10시-13시운영)",09:00,18:00,10:00,13:00,00:00,00:00,20,6832,2,0,5,15,광주광역시 북구 자산로 66 신안동 주민자치센테 1층,광주광역시 북구 신안동주민센터,062-410-8653,,120.0,,35.167399700000004,126.88996909999999,2020-07-03,3620000,광주광역시 북구
양산동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,42,3574,2,0,5,15,광주광역시 북구 연양로 43 양산동 주민센터 2층,광주광역시 북구 양산동주민센터,062-410-8874,,101.0,,35.2077141,126.8665486,2020-07-03,3620000,광주광역시 북구
오치1동 꿈나무 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:9시-12시운영)",09:00,18:00,09:00,12:00,00:00,00:00,30,6210,2,0,5,15,광주광역시 북구 우치로274번길 48 오치1동 주민자치센터 2층,광주광역시 북구 오치1동주민센터,062-410-8825,,138.0,,35.18907960000001,126.89941029999999,2020-07-03,3620000,광주광역시 북구
오치2동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,12,7056,2,0,5,15,광주광역시 북구 서하로183번길 29 오치2동 주민센터 1층,광주광역시 북구 오치2동주민센터,062-410-8834,,87.0,,35.1900903,126.8917624,2020-07-03,3620000,광주광역시 북구
용봉 작은도서관,광주광역시,북구,작은도서관,"매주 일·월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,20,7999,2,0,5,15,광주광역시 북구 설죽로415번길 16 용봉동 노인복지회관 2층,광주광역시 북구 도서관과,062-510-1349,,136.0,,35.1803725,126.8924532,2020-07-03,3620000,광주광역시 북구
운암1동 큰꿈 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,8,4864,2,0,5,15,광주광역시 북구 서강로54번길 28 운암1동 주민자치센터 1층,광주광역시 북구 운암1동주민센터,062-410-8677,,33.0,,35.1748622,126.8657311,2020-07-03,3620000,광주광역시 북구
운암2동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,7,2921,2,0,5,15,광주광역시 북구 북문대로 23 운암2치안센터 운암2동 주민자치센터 1층,광주광역시 북구 운암2동주민센터,062-410-8685,,60.0,,35.1741064,126.88262659999998,2020-07-03,3620000,광주광역시 북구
운암3동 황계 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:30,18:00,00:00,00:00,00:00,00:00,8,10508,2,0,5,15,광주광역시 북구 서강로 129 운암3동 주민센터3층,광주광역시 북구 운암3동주민센터,062-410-8695,,116.0,,35.1827847,126.8655747,2020-07-03,3620000,광주광역시 북구
임동작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",13:00,18:00,00:00,00:00,00:00,00:00,60,2206,0,0,5,15,"광주광역시 북구 서림로 109-1, 3층",광주광역시 북구 도서관과,062-510-1233,,219.45,,35.1619580415,126.8980506086,2020-07-03,3620000,광주광역시 북구
중앙동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,9,2545,2,0,5,15,광주광역시 북구 금재로 30 중앙동 주민자치센테 내,광주광역시 북구 중앙동주민센터,062-410-8633,,33.0,,35.1573194,126.8978966,2020-07-03,3620000,광주광역시 북구
중흥1동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,12,2796,2,0,5,15,광주광역시 북구 중흥로183번길 7 중흥1동 주민센터 2층,광주광역시 북구 중흥1동주민센터,062-410-8604,,44.0,,35.1616281,126.905227,2020-07-03,3620000,광주광역시 북구
징검다리 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,30,8160,2,0,5,15,광주광역시 북구 하서로 195 다문화가족지원센터 3층,북구다문화가족지원센터,070-8768-9462,,112.0,,35.1929226,126.8674267,2020-07-03,3620000,광주광역시 북구
풍향동 작은도서관,광주광역시,북구,작은도서관,"매주 토·일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,50,4226,2,0,5,15,광주광역시 북구 필문대로29번길 10 풍향동 주민센터 1층,광주광역시 북구 풍향동주민센터,062-410-8727,,67.74,,35.1644018,126.9231959,2020-07-03,3620000,광주광역시 북구
햇살마루 작은도서관,광주광역시,북구,작은도서관,"매주 일요일, 국가지정공휴일(토요일:10시-16시운영)",10:00,17:00,10:00,16:00,00:00,00:00,20,12300,0,0,5,15,광주광역시 북구 대천로 86 청소년수련관내,북구청소년수련관,062-267-7279,,130.0,,35.1842638,126.9172348,2020-07-03,3620000,광주광역시 북구
BS작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,12:00,18:00,00:00,00:00,00:00,00:00,16,1000,0,0,3,7,광주광역시 북구 반룡로 33 (용봉동),,062-527-2733,,82.0,,35.17923095,126.90155530000001,2020-07-03,3620000,광주광역시 북구
