도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
신가도서관,광주광역시,광산구,공공도서관,"일요일제외한 공휴일, 매월 첫째, 셋째 월요일",7:00,22:00,7:00,22:00,7:00,22:00,254,57822,36,0,5,15,광주광역시 광산구 신가로40번길 24,광주광역시 광산구청,062-960-8514,1993,1888,http://lib.gwangsan.go.kr,35.182797,126.826386,2019-05-31
운남어린이도서관,광주광역시,광산구,공공도서관,일요일제외한공휴일 및매월둘째넷째월요일,7:00,18:00,7:00,18:00,7:00,18:00,54,47790,24,458,5,15,광주광역시 광산구 목련로217번길 10(운남동),광주광역시 광산구청,062-960-8303,1925,814,http://lib.gwangsan.go.kr,35.173025,126.819786,2019-05-31
이야기꽃도서관,광주광역시,광산구,공공도서관,일요일제외한공휴일및매월 둘째넷째월요일,7:00,22:00,7:00,22:00,7:00,22:00,501,36011,42,1173,5,15,광주광역시 광산구 선운중앙로 67번길 6 (선암동 516번지),광주광역시 광산구청,062-960-6812,3306,3276,http://lib.gwangsan.go.kr,35.148414,126.778992,2019-05-31
장덕도서관,광주광역시,광산구,공공도서관,"일요일제외한 공휴일, 매월 첫째, 셋째 월요일",7:00,22:00,7:00,22:00,7:00,22:00,345,52650,47,3866,3,15,광주광역시 광산구 풍영로 179,광주광역시 광산구청,062-960-3989,3304,2844,http://lib.gwangsan.go.kr,35.187519,126.8133497,2019-05-31
광주송정도서관,광주광역시,광산구,공공도서관,"둘째, 넷째 월요일, 설, 추석 당일, 개관기념일(4월10일)",7:00,22:00,7:00,22:00,7:00,22:00,429,191063,73,276,5,15,광주광역시 광산구 송정공원로 8-13,광주광역시교육청,062-940-8900,,,http://lib.gen.go.kr/songjung/,35.145316,126.799604,2019-05-31
첨단도서관,광주광역시,광산구,공공도서관,일요일 제외한 공휴일 및 매월 둘째넷째 월요일,7:00,22:00,7:00,22:00,7:00,22:00,389,54108,30,0,5,15,광주광역시 광산구 임방울대로673-12　,광주광역시 광산구청,062-960-8296,1500,1997,http://lib.gwangsan.go.kr,35.217233,126.830102,2019-05-31
사직도서관,광주광역시,남구,공공도서관,"매월 1번째, 3번째 월요일 공휴일",7:00,22:00,7:00,22:00,7:00,22:00,656,240058,378,2355,5,15,광주광역시 남구 제중로 56,광주광역시립도서관,062-613-7783,3252,5236,http://www.citylib.gwangju.kr/main/main.php,35.139737,126.913963,2019-05-31
금호평생교육관,광주광역시,남구,공공도서관,"첫째, 셋째 월요일, 법정공휴일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,705,177178,43,8950,5,15,광주광역시 남구 중앙로 15,광주광역시교육청,062-360-6600,,,http://lib.gen.go.kr/kumho/,35.145717,126.900543,2019-05-31
문화정보도서관,광주광역시,남구,공공도서관,"매월 둘째, 넷째 월요일, 일요일을 제외한 공휴일",9:00,18:00,9:00,17:00,9:00,17:00,350,90452,26,8007,5,15,광주광역시 남구 봉선로 208,광주광역시 남구청,062-607-2521,3723,1252,http://lib.namgu.gwangju.kr/main/,35.122033,126.917555,2019-05-31
푸른길도서관,광주광역시,남구,공공도서관,"매주 월요일, 법정공휴일",9:00,22:00,9:00,17:00,9:00,17:00,150,41601,22,1207,5,15,광주광역시 남구 금당로 140,광주광역시 남구청,062-607-2531,1701,1462,http://lib.namgu.gwangju.kr/main/,35.129307,126.895261,2019-05-31
